time,altitude,velocity,q,mach,gimbal,theta,apoapsis,periapsis,theta_error
0.2500,1.4857,11.8966,55.4122,0.0280,0.0000,1.5708,5.5574,-6371000.0000,0.0000
0.5500,7.2066,26.2574,348.4238,0.0701,0.0000,1.5708,34.9352,-6371000.0000,0.0000
0.7500,13.4197,35.8800,685.3975,0.0984,0.0000,1.5708,68.7283,-6371000.0000,0.0000
1.0000,23.8985,47.9600,1267.5778,0.1339,0.0000,1.5708,127.1568,-6371000.0000,0.0000
1.2500,37.4042,60.0942,2029.8114,0.1695,0.0000,1.5708,203.7665,-6371000.0000,0.0000
1.5000,53.9498,72.2790,2972.8859,0.2053,0.0000,1.5708,298.7498,-6371000.0000,0.0000
1.7500,73.5476,84.5108,4097.0480,0.2413,0.0000,1.5708,412.2814,-6371000.0000,0.0000
2.0000,96.2088,96.7860,5401.9945,0.2775,0.0000,1.5708,544.5174,-6371000.0000,0.0000
2.2500,121.9439,109.1006,6886.8673,0.3138,0.0000,1.5708,695.5951,-6371000.0000,0.0000
2.5500,156.8965,123.9251,8904.1853,0.3575,0.0000,1.5708,901.9245,-6371000.0000,0.0000
2.8000,189.4257,136.3135,10779.1308,0.3941,0.0000,1.5708,1094.8430,-6371000.0000,0.0000
3.0500,225.0555,148.7293,12827.5215,0.4308,0.0000,1.5708,1306.9136,-6371000.0000,0.0000
3.3000,263.7924,161.1689,15046.1820,0.4676,0.0000,1.5708,1538.1932,-6371000.0000,0.0000
3.5500,305.6417,173.6286,17431.4057,0.5046,0.0000,1.5708,1788.7197,-6371000.0000,0.0000
3.8000,350.6080,186.1046,19978.9696,0.5416,0.0000,1.5708,2058.5125,-6371000.0000,0.0000
4.0500,398.6950,198.5933,22684.1521,0.5788,0.0000,1.5708,2347.5733,-6371000.0000,0.0000
4.3000,449.9054,211.0913,25541.7533,0.6160,0.0000,1.5708,2655.8864,-6371000.0000,0.0000
4.5500,504.2412,223.5952,28546.1183,0.6534,0.0000,1.5708,2983.4195,-6371000.0000,0.0000
4.8000,561.7032,236.1015,31691.1625,0.6908,0.0000,1.5708,3330.1248,-6371000.0000,0.0000
5.0500,622.2918,248.6071,34970.4000,0.7282,0.0000,1.5708,3695.9399,-6371000.0000,0.0000
5.3000,686.0065,261.1089,38376.9730,0.7658,0.0000,1.5708,4080.7887,-6371000.0000,0.0000
5.5500,752.8454,273.5889,41903.3430,0.8034,0.0000,1.5708,4484.5522,-6371000.0000,0.0000
5.8000,822.7738,285.7690,45470.2871,0.8404,0.0000,1.5708,4900.6436,-6371000.0000,0.0000
6.0500,895.6933,297.5096,48998.4693,0.8762,0.0000,1.5708,5322.1935,-6371000.0000,0.0000
6.3000,971.4881,308.7649,52452.0835,0.9107,0.0000,1.5708,5746.0672,-6371000.0000,0.0000
6.5500,1050.0321,319.4974,55797.5646,0.9438,-0.0016,1.5707,6169.2066,-6371000.0000,0.0000
6.8000,1131.1908,329.6777,59004.6790,0.9753,-0.0009,1.5701,6588.7305,-6370999.9999,-0.0008
7.0500,1214.8233,339.2860,62047.4173,1.0052,-0.0006,1.5690,7002.0225,-6370999.9998,-0.0016
7.3000,1300.7852,348.3115,64904.5895,1.0335,-0.0004,1.5677,7406.7980,-6370999.9995,-0.0020
7.5500,1388.9346,356.8406,67574.7454,1.0602,-0.0003,1.5663,7802.5433,-6370999.9986,-0.0023
7.8000,1479.1983,365.2589,70192.7114,1.0865,-0.0002,1.5648,8201.8875,-6370999.9968,-0.0024
8.0500,1571.5589,373.6160,72792.7768,1.1127,-0.0002,1.5633,8608.2737,-6370999.9934,-0.0025
8.3000,1666.0015,381.9169,75372.9761,1.1388,-0.0002,1.5617,9021.7302,-6370999.9875,-0.0026
8.5500,1762.5129,390.1670,77931.5465,1.1648,-0.0002,1.5600,9442.3061,-6370999.9780,-0.0026
8.8000,1861.0809,398.3714,80466.9127,1.1908,-0.0002,1.5583,9870.0704,-6370999.9635,-0.0027
9.0500,1961.6948,406.5355,82977.6726,1.2168,-0.0002,1.5566,10305.1118,-6370999.9424,-0.0028
9.3000,2064.3450,414.6643,85462.5825,1.2427,-0.0002,1.5549,10747.5379,-6370999.9129,-0.0028
9.5000,2147.9257,421.1455,87431.1551,1.2635,-0.0002,1.5534,11106.8802,-6370999.8816,-0.0029
9.7500,2254.2215,429.2241,89866.8531,1.2895,-0.0002,1.5516,11562.9294,-6370999.8309,-0.0029
10.0000,2362.5339,437.2821,92273.9444,1.3155,-0.0002,1.5498,12026.7624,-6370999.7647,-0.0030
10.2500,2472.8584,445.3246,94651.6638,1.3415,-0.0002,1.5479,12498.5553,-6370999.6797,-0.0030
10.5000,2585.1916,453.3567,96999.3423,1.3676,-0.0002,1.5459,12978.5014,-6370999.5724,-0.0031
10.7500,2699.5314,461.3837,99316.3950,1.3938,-0.0002,1.5440,13466.8108,-6370999.4389,-0.0032
11.0000,2815.8771,469.4105,101602.3105,1.4202,-0.0002,1.5420,13963.7104,-6370999.2748,-0.0032
11.2500,2934.2291,477.4423,103856.6402,1.4466,-0.0002,1.5399,14469.4433,-6370999.0751,-0.0033
11.5000,3054.5891,485.4841,106078.9883,1.4732,-0.0002,1.5379,14984.2692,-6370998.8347,-0.0033
11.7500,3176.9600,493.5409,108269.0025,1.4999,-0.0002,1.5358,15508.4639,-6370998.5475,-0.0034
12.0000,3301.3461,501.6177,110426.3651,1.5268,-0.0002,1.5336,16042.3194,-6370998.2072,-0.0034
12.2500,3427.7526,509.7195,112550.7838,1.5539,-0.0002,1.5314,16586.1438,-6370997.8068,-0.0035
