time,altitude,velocity,q,mach,gimbal,theta,apoapsis,periapsis,theta_error
0.2500,1.4862,11.9009,55.4517,0.0280,0.0000,1.5708,5.5610,-6371000.0000,0.0000
0.5500,7.2091,26.2668,348.6728,0.0701,0.0000,1.5708,34.9580,-6371000.0000,0.0000
0.7500,13.4245,35.8928,685.8880,0.0984,0.0000,1.5708,68.7733,-6371000.0000,0.0000
1.0000,23.9070,47.9772,1268.4863,0.1339,0.0000,1.5708,127.2403,-6371000.0000,0.0000
1.2500,37.4176,60.1158,2031.2681,0.1696,0.0000,1.5708,203.9005,-6371000.0000,0.0000
1.5000,53.9692,72.3050,2975.0215,0.2054,0.0000,1.5708,298.9467,-6371000.0000,0.0000
1.7500,73.5740,84.5413,4099.9933,0.2414,0.0000,1.5708,412.5536,-6371000.0000,0.0000
2.0000,96.2434,96.8209,5405.8797,0.2776,0.0000,1.5708,544.8776,-6371000.0000,0.0000
2.2500,121.9878,109.1401,6891.8213,0.3139,0.0000,1.5708,696.0560,-6371000.0000,0.0000
2.5500,156.9531,123.9700,8910.5896,0.3576,0.0000,1.5708,902.5232,-6371000.0000,0.0000
2.8000,189.4941,136.3629,10786.8804,0.3942,0.0000,1.5708,1095.5706,-6371000.0000,0.0000
3.0500,225.1368,148.7833,12836.7375,0.4310,0.0000,1.5708,1307.7832,-6371000.0000,0.0000
3.3000,263.8877,161.2275,15056.9814,0.4678,0.0000,1.5708,1539.2178,-6371000.0000,0.0000
3.5500,305.7522,173.6917,17443.9014,0.5048,0.0000,1.5708,1789.9123,-6371000.0000,0.0000
3.8000,350.7349,186.1723,19993.2697,0.5418,0.0000,1.5708,2059.8861,-6371000.0000,0.0000
4.0500,398.8394,198.6656,22700.3592,0.5790,0.0000,1.5708,2349.1409,-6371000.0000,0.0000
4.3000,450.0685,211.1682,25559.9641,0.6163,0.0000,1.5708,2657.6609,-6371000.0000,0.0000
4.5500,504.4240,223.6766,28566.4231,0.6536,0.0000,1.5708,2985.4138,-6371000.0000,0.0000
4.8000,561.9070,236.1875,31713.6449,0.6910,0.0000,1.5708,3332.3517,-6371000.0000,0.0000
5.0500,622.5177,248.6977,34995.1366,0.7285,0.0000,1.5708,3698.4121,-6371000.0000,0.0000
5.3000,686.2555,261.2041,38404.0328,0.7661,0.0000,1.5708,4083.5188,-6371000.0000,0.0000
5.5500,753.1188,273.6879,41932.7572,0.8037,0.0000,1.5708,4487.5500,-6371000.0000,0.0000
5.8000,823.0721,285.8693,45501.0953,0.8407,0.0000,1.5708,4903.8293,-6371000.0000,0.0000
6.0500,896.0168,297.6105,49030.4162,0.8765,0.0000,1.5708,5325.5490,-6371000.0000,0.0000
6.3000,971.8369,308.8660,52484.8931,0.9110,0.0000,1.5708,5749.5718,-6371000.0000,0.0000
6.5500,1050.4061,319.5979,55830.9506,0.9441,-0.0016,1.5707,6172.8378,-6371000.0000,0.0000
6.8000,1131.5898,329.7773,59038.3552,0.9756,-0.0009,1.5701,6592.4650,-6370999.9999,-0.0008
7.0500,1215.2470,339.3842,62081.1077,1.0055,-0.0006,1.5690,7005.8369,-6370999.9998,-0.0016
7.3000,1301.2332,348.4080,64938.0366,1.0337,-0.0004,1.5677,7410.6696,-6370999.9994,-0.0020
7.5500,1389.4068,356.9383,67608.5197,1.0605,-0.0003,1.5663,7806.5277,-6370999.9986,-0.0023
7.8000,1479.6954,365.3602,70228.1218,1.0868,-0.0002,1.5648,8206.1147,-6370999.9968,-0.0024
8.0500,1572.0817,373.7209,72829.8117,1.1130,-0.0002,1.5633,8612.7500,-6370999.9933,-0.0025
8.3000,1666.5511,382.0254,75411.6218,1.1391,-0.0002,1.5617,9026.4621,-6370999.9874,-0.0026
8.5500,1763.0900,390.2791,77971.7876,1.1652,-0.0002,1.5600,9447.3000,-6370999.9779,-0.0026
8.8000,1861.6865,398.4872,80508.7325,1.1912,-0.0002,1.5583,9875.3330,-6370999.9634,-0.0027
9.0500,1962.3297,406.6548,83021.0530,1.2172,-0.0002,1.5566,10310.6498,-6370999.9423,-0.0028
9.3000,2065.0102,414.7873,85507.5040,1.2431,-0.0002,1.5549,10753.3585,-6370999.9126,-0.0028
9.5000,2148.6159,421.2714,87477.2948,1.2639,-0.0002,1.5534,11112.9319,-6370999.8813,-0.0029
9.7500,2254.9436,429.3536,89914.4963,1.2899,-0.0002,1.5516,11569.2767,-6370999.8305,-0.0029
10.0000,2363.2889,437.4153,92323.0685,1.3159,-0.0002,1.5497,12033.4129,-6370999.7641,-0.0030
10.2500,2473.6471,445.4615,94702.2456,1.3419,-0.0002,1.5479,12505.5170,-6370999.6789,-0.0030
10.5000,2586.0149,453.4974,97051.3575,1.3681,-0.0002,1.5459,12985.7824,-6370999.5714,-0.0031
10.7500,2700.3904,461.5281,99369.8187,1.3943,-0.0002,1.5440,13474.4195,-6370999.4377,-0.0032
11.0000,2816.7726,469.5587,101657.1168,1.4206,-0.0002,1.5420,13971.6556,-6370999.2732,-0.0032
11.2500,2935.1621,477.5944,103912.8026,1.4471,-0.0002,1.5399,14477.7341,-6370999.0732,-0.0033
11.5000,3055.5606,485.6400,106136.4794,1.4737,-0.0002,1.5379,14992.9151,-6370998.8322,-0.0033
11.7500,3177.9710,493.7008,108327.7944,1.5004,-0.0002,1.5357,15517.4747,-6370998.5446,-0.0034
12.0000,3302.3975,501.7815,110486.4288,1.5273,-0.0002,1.5336,16051.7053,-6370998.2037,-0.0034
12.2500,3428.8455,509.8873,112612.0899,1.5545,-0.0002,1.5314,16595.9154,-6370997.8026,-0.0035
12.5000,3557.3216,518.0230,114704.5027,1.5818,-0.0003,1.5292,17150.4299,-6370997.3336,-0.0036
12.7500,3687.8336,526.1936,116763.4024,1.6094,-0.0003,1.5270,17715.5896,-6370996.7884,-0.0036
13.0000,3820.3905,534.4039,118788.5268,1.6372,-0.0003,1.5247,18291.7521,-6370996.1580,-0.0037
13.2500,3955.0026,542.6589,120779.6099,1.6653,-0.0003,1.5224,18879.2912,-6370995.4325,-0.0037
13.5000,4091.6813,550.9633,122736.3750,1.6937,-0.0003,1.5200,19478.5974,-6370994.6014,-0.0038
13.7500,4230.4390,559.3221,124658.5290,1.7224,-0.0003,1.5176,20090.0782,-6370993.6531,-0.0039
